"","lon","lat","albedo"
"20323304",-107.684097290039,48.5020484924316,0.141732282936573
"19830106",-99.2909545898438,44.3443412780762,0.125984251499176
"20477178",-101.350692749023,49.2117805480957,0.0826771650463343
"18861655",-96.3337249755859,38.0122337341309,0.0984251964837313
"20243723",-95.4188003540039,47.0711936950684,0.0511811021715403
"18940936",-97.7240142822266,38.5535774230957,0.0826771650463343
"20833716",-102.599884033203,52.2242774963379,0.094488188624382
"19420904",-103.527252197266,41.8790740966797,0.129921259358525
"21339078",-73.91650390625,55.7510185241699,0.716535430401564
"21229156",-78.2261352539062,54.6919097900391,0.559055116027594
"18627808",-82.6515731811523,36.2178268432617,0.145669290795922
"20643839",-82.2656326293945,49.6504936218262,0.0354330707341433
"19314687",-87.3859710693359,40.4411163330078,0.0826771650463343
"20305652",-105.895599365234,48.2249603271484,0.122047243639827
"20964742",-68.7783355712891,52.3208427429199,0.062992125749588
"19130442",-104.648612976074,40.1067657470703,0.133858267217875
"19970889",-97.2813873291016,45.2070999145508,0.0905511807650328
"18641509",-94.7036209106445,36.6468124389648,0.102362204343081
"19729010",-103.665397644043,43.9309959411621,0.047244094312191
"21004790",-82.4009857177734,52.6947822570801,0.224409447982907
"20208872",-107.70484161377,47.640193939209,0.153543306514621
"19490747",-87.1087493896484,41.551570892334,0.0905511807650328
"19446652",-85.1156768798828,41.2156867980957,0.102362204343081
"19376012",-79.8157043457031,40.6728401184082,0.114173227921128
"19156196",-86.7046051025391,39.4387512207031,0.110236220061779
"18707337",-89.7397918701172,36.8477210998535,0.0905511807650328
"20433209",-102.935791015625,48.9816856384277,0.125984251499176
"21229163",-78.4607315063477,54.6942710876465,0.551181100308895
"19424688",-86.270378112793,41.1049308776855,0.0748031493276358
"18901634",-106.816986083984,38.8403587341309,0.062992125749588
"20111681",-95.5382919311523,46.1139945983887,0.0669291336089373
"19037674",-95.0758285522461,39.0151176452637,0.0984251964837313
"18333287",-92.1692428588867,34.7944488525391,0.10629921220243
"19323502",-87.6800918579102,40.505054473877,0.078740157186985
"20366837",-91.4254760742188,47.7959518432617,0.0748031493276358
"21356742",-75.8468475341797,55.9264259338379,0.633858265355229
"19363226",-90.5007705688477,40.8490982055664,0.0748031493276358
"21158373",-66.58642578125,54.1216239929199,0.078740157186985
"18482735",-87.0708999633789,35.4828147888184,0.0984251964837313
"18403734",-92.6367797851562,35.2069892883301,0.2637795265764
"19821264",-98.0960159301758,44.2146072387695,0.0866141729056835
"18522835",-99.179557800293,36.1640548706055,0.31496062874794
"19949026",-101.850402832031,45.3310127258301,0.118110235780478
"18575727",-101.155685424805,36.5705261230469,0.271653542295098
"19050843",-94.118896484375,39.0535507202148,0.0905511807650328
"18936078",-86.0144424438477,38.089656829834,0.0669291336089373
"18584218",-92.9604415893555,36.2470283508301,0.078740157186985
"21563554",-72.8811721801758,58.1045188903809,0.929133854806423
"20635758",-106.41104888916,50.8670310974121,0.102362204343081
"18433957",-78.8028106689453,35.070987701416,0.559055116027594
"18831174",-105.702163696289,38.3429527282715,0.078740157186985
"19698305",-107.199760437012,43.9724273681641,0.102362204343081
"19521303",-80.5253753662109,41.607795715332,0.0984251964837313
"21334686",-74.2614288330078,55.7061614990234,0.570866139605641
"18712194",-101.647277832031,37.3952178955078,0.251968502998352
"21339619",-93.1758499145508,56.2775115966797,0.141732282936573
"20045992",-106.512199401855,46.3528327941895,0.122047243639827
"19957997",-107.652191162109,45.8105583190918,0.129921259358525
"20370832",-79.5766372680664,47.4875335693359,0.102362204343081
